predicted true
dog cat
car ship
ship ship
ship airplane
frog frog
frog frog
car car
bird frog
cat cat
car car
airplane airplane
truck truck
cat dog
horse horse
truck truck
frog ship
dog dog
cat horse
ship ship
frog frog
horse horse
airplane airplane
bird deer
truck truck
deer dog
frog bird
deer deer
bird airplane
truck truck
frog frog
frog frog
dog dog
bird deer
cat dog
truck truck
cat bird
deer deer
car car
truck truck
dog dog
airplane deer
frog frog
dog dog
frog frog
airplane airplane
truck truck
cat cat
truck truck
horse horse
bird frog
truck truck
ship ship
frog airplane
frog cat
ship ship
ship ship
horse horse
dog horse
cat deer
cat frog
horse horse
dog cat
car frog
cat cat
frog frog
frog bird
car car
airplane bird
dog cat
horse horse
bird bird
frog frog
ship ship
ship ship
truck airplane
bird bird
airplane truck
cat cat
dog cat
ship ship
ship ship
car car
car car
horse horse
bird bird
horse dog
horse bird
deer horse
ship ship
truck truck
airplane airplane
bird cat
ship ship
frog frog
deer deer
frog frog
frog frog
airplane airplane
bird airplane
horse horse
deer deer
cat dog
frog frog
cat cat
car car
car car
ship cat
frog frog
ship ship
dog horse
deer deer
airplane airplane
bird frog
bird bird
car car
frog cat
airplane airplane
horse deer
bird bird
dog horse
ship ship
bird cat
car car
bird bird
ship ship
bird airplane
ship ship
cat cat
frog dog
airplane bird
deer deer
car car
ship ship
truck truck
car car
cat bird
truck truck
horse horse
bird bird
ship truck
deer frog
dog dog
frog frog
dog cat
ship ship
cat horse
frog frog
frog bird
dog dog
cat bird
ship ship
truck truck
frog frog
airplane airplane
bird airplane
cat dog
cat bird
truck truck
cat dog
deer deer
bird bird
car car
cat frog
frog frog
ship ship
deer deer
ship ship
deer deer
horse dog
airplane airplane
truck truck
frog truck
car truck
airplane ship
truck truck
truck truck
cat cat
horse horse
cat dog
airplane airplane
ship airplane
dog dog
frog bird
bird bird
frog cat
ship ship
frog frog
cat cat
cat deer
ship airplane
dog dog
ship ship
airplane airplane
car car
horse horse
deer bird
ship ship
ship ship
cat horse
ship ship
cat dog
ship car
ship ship
horse horse
car car
cat cat
ship airplane
dog dog
horse horse
truck truck
dog horse
car deer
dog dog
truck truck
ship ship
cat airplane
deer horse
truck truck
airplane ship
deer bird
horse horse
cat frog
truck truck
dog deer
cat cat
truck truck
cat frog
bird deer
cat horse
frog frog
dog dog
car car
cat dog
car ship
ship ship
airplane airplane
deer deer
truck airplane
cat dog
cat dog
car car
car car
airplane ship
truck truck
airplane airplane
ship cat
car car
ship truck
bird bird
airplane bird
dog dog
cat cat
truck truck
truck truck
bird deer
ship airplane
frog cat
ship airplane
ship airplane
truck truck
ship ship
car car
ship dog
cat horse
airplane airplane
ship ship
bird bird
deer deer
horse horse
bird airplane
bird bird
bird cat
frog frog
cat cat
ship ship
bird dog
airplane airplane
dog cat
deer deer
dog cat
truck truck
car airplane
cat frog
car car
truck airplane
truck truck
car car
ship airplane
horse horse
truck truck
car car
bird bird
frog frog
car truck
dog cat
bird deer
frog frog
airplane airplane
airplane airplane
frog frog
frog frog
frog frog
dog cat
bird bird
